sampleID	Species	Sex
SRR13283663	Scleoporus virgatus	Female
SRR13283664	Scleoporus virgatus	Female
SRR13283665	Scleoporus virgatus	Female
SRR13394536	Scleoporus virgatus	Male
SRR13394537	Scleoporus virgatus	Male
SRR13394540	Scleoporus virgatus	Male
SRR13487928	Podarcis lilfordi	Female
SRR13487929	Podarcis lilfordi	Male
SRR13487930	Podarcis lilfordi	Female
SRR13487931	Podarcis lilfordi	Male
SRR13487932	Podarcis lilfordi	Female
SRR13487935	Podarcis lilfordi	Male
SRR13487933	Podarcis pityusensis	Male
SRR13487934	Podarcis pityusensis	Male
SRR13487936	Podarcis pityusensis	Male
SRR13487937	Podarcis pityusensis	Female
SRR13487939	Podarcis pityusensis	Female
SRR13487942	Podarcis pityusensis	Female
SRR32131865	Scleoporus undulatus	Female
SRR32131866	Scleoporus undulatus	Male
SRR32131867	Scleoporus undulatus	Male
SRR32131868	Scleoporus undulatus	Male
SRR32131869	Scleoporus undulatus	Female
SRR32131896	Scleoporus undulatus	Female
